UKPRN,UnitOfAssessment,MultipleSubmission,Source,Income2008,Income2009,Income2010,Income2011,Income2012
10005553,11,,6,217704,102412,124592,166563,362803
10005553,11,,8,0,0,0,0,12052
10005553,11,,11,178860,235254,166535,64394,118475
10005553,11,,12,0,0,0,13015,17572
10007156,11,,1,267408,194984,51654,690,353363
10007156,11,,2,0,3204,1247,15309,0
10007156,11,,4,62619,179065,121454,72917,136504
10007156,11,,5,56319,56485,125425,61376,43438
10007156,11,,6,142969,169445,233851,321418,208499
10007156,11,,12,6099,148,-1250,0,4000
10007156,11,,13,-1866,0,0,0,0
10007157,11,,1,1388373,1258567,1046741,1260109,1508037
10007157,11,,2,59386,83686,130673,135472,74789
10007157,11,,3,0,0,89,0,0
10007157,11,,4,327163,246360,109325,320054,200183
10007157,11,,5,89581,17270,50618,90961,28391
10007157,11,,6,2730305,2514043,1544411,1235872,1717175
10007157,11,,8,1967,71277,130342,-86811,44110
10007157,11,,9,5644,23725,5710,0,0
10007157,11,,11,349,-517,133961,198228,105394
10007157,11,,15,46,131,75,6640,13280
10007158,11,,1,3126547,3167392,2865260,2782830,2399093
10007158,11,,2,114322,75743,153702,139606,161084
10007158,11,,3,0,3000,7016,3375,9563
10007158,11,,4,1030800,613947,379740,381377,145986
10007158,11,,5,1030345,896127,957836,863691,824198
10007158,11,,6,2490545,2372938,2980984,2796460,3172574
10007158,11,,8,1578,0,0,0,0
10007158,11,,9,76568,224625,200833,114653,23305
10007158,11,,11,182182,96747,237560,174600,91468
10007158,11,,12,35775,104275,103555,88558,93789
10007158,11,,13,150622,242496,315848,440512,507950
10006299,11,,1,183521,71790,74579,44214,0
10006299,11,,4,0,0,0,77387,78220
10006299,11,,5,0,0,0,36000,0
10006299,11,,6,1000,0,11056,29934,67742
10006299,11,,13,0,0,0,205543,76390
10007159,11,,1,49966,20495,0,0,0
10007159,11,,2,-17,0,0,0,0
10007159,11,,4,39795,9699,10223,103707,149059
10007159,11,,5,43489,30389,238397,204416,65863
10007159,11,,6,311396,100983,88499,104586,82076
10007159,11,,9,1601,0,0,0,0
10007159,11,,12,9781,9738,1600,0,1079
10007159,11,,13,12152,16257,0,0,0
10007160,11,,1,144000,534000,778000,678000,307000
10007160,11,,2,3000,66000,87000,58000,1000
10007160,11,,3,0,0,0,43000,40000
10007160,11,,4,0,0,0,64000,54000
10007160,11,,5,102000,3000,13000,4000,0
10007160,11,,6,106000,88000,17000,36000,138000
10007160,11,,8,0,0,0,5000,32000
10007806,11,,1,1190538,1428748,1357930,605640,539307
10007806,11,,2,57710,132054,197838,147927,61936
10007806,11,,3,0,0,0,0,-104
10007806,11,,4,2617,0,6079,197663,277098
10007806,11,,5,36515,171468,45325,5051,12692
10007806,11,,6,57316,114422,225399,270997,126609
10007806,11,,11,0,0,0,0,9659
10007806,11,,12,0,17760,1415,0,0
10007806,11,,13,0,48299,117948,35814,71806
10007161,11,,1,0,6777,104819,104253,117364
10007161,11,,2,625,595,0,0,1000
10007161,11,,4,119403,70233,105425,27970,21159
10007161,11,,5,0,125,15086,17311,18687
10007161,11,,6,306184,522648,258368,187103,190491
10007163,11,,1,578032,744363,719831,769900,916330
10007163,11,,2,1400,1600,6692,23304,27621
10007163,11,,3,0,2450,0,0,0
10007163,11,,4,27904,27588,62509,166404,192621
10007163,11,,5,102533,114134,102120,103198,163336
10007163,11,,6,89613,145368,195620,339931,390090
10007163,11,,8,0,0,20000,0,0
10007163,11,,11,27922,16651,6374,0,4718
10007163,11,,12,0,3232,10423,7642,33348
10007163,11,,13,-800,0,0,0,0
10007163,11,,15,0,0,341,1360,37122
10007164,11,,1,685460,520873,676788,713105,727392
10007164,11,,2,4507,85807,129969,123295,104534
10007164,11,,4,151688,118532,156918,206927,89883
10007164,11,,5,26136,3318,0,25342,153191
10007164,11,,6,1072417,1128672,719331,926055,667974
10007164,11,,9,0,8895,0,0,0
10007164,11,,12,0,0,0,11404,75453
10007164,11,,13,0,5806,1194,11546,4531
10006566,11,,1,5000,19000,0,0,0
10006566,11,,4,345000,366000,181000,148000,22069
10006566,11,,5,34000,0,28000,36000,28973
10007165,11,,1,19541,160842,226249,164254,88617
10007165,11,,2,1100,3520,0,0,3915
10007165,11,,3,500,0,0,0,0
10007165,11,,4,97277,106242,100030,154117,185017
10007165,11,,5,0,89422,51261,95467,55026
10007165,11,,6,189209,241732,315078,403250,122165
10007165,11,,9,0,0,0,1987,236
10007165,11,,12,0,0,0,1987,236
10007165,11,,13,51386,18897,27529,23868,2343
10007167,11,,1,2198509,2117355,1992944,1243624,1520572
10007167,11,,2,0,0,4951,6300,0
10007167,11,,3,0,0,0,8682,26876
10007167,11,,4,304905,91737,84914,182269,215628
10007167,11,,5,1502228,1535639,999939,604622,302597
10007167,11,,6,740882,763511,535039,917796,966502
10007167,11,,11,0,19040,9081,0,0
10007167,11,,13,109652,151,0,0,2806
10007783,11,,1,718594,822302,1330146,1463003,1909941
10007783,11,,2,1465,0,16720,17998,17347
10007783,11,,3,0,0,0,12461,14054
10007783,11,,4,11847,-4062,12947,2851,-1119
10007783,11,,5,40852,10630,7678,1410,280600
10007783,11,,6,266422,353698,141584,140868,275139
10007783,11,,10,257966,197000,215512,120818,171013
10007783,11,,11,0,0,12075,13200,-550
10007783,11,,12,8170,12053,4902,0,0
10007783,11,,13,5000,2280,430,220,12090
10007852,11,,1,873178,1375026,1468124,1099482,1026361
10007852,11,,2,8296,1741,3520,15096,73861
10007852,11,,3,14624,16493,23166,49449,5601
10007852,11,,4,385976,233218,124245,109186,228579
10007852,11,,5,50082,59026,81563,46913,37679
10007852,11,,6,153169,150014,33027,89104,189305
10007852,11,,8,48342,0,854,86807,11589
10007852,11,,9,290755,202101,162813,86836,199961
10007852,11,,10,51845,37917,-3182,0,0
10007852,11,,11,0,49703,0,14514,17109
10007852,11,,12,17115,37733,38503,-15154,0
10007790,11,,1,6072646,6172261,5249388,3761078,5121534
10007790,11,,2,492928,487219,494475,419418,351188
10007790,11,,3,0,1602,2058,0,0
10007790,11,,4,563108,658896,359044,128810,204418
10007790,11,,5,583002,118664,142773,100786,238820
10007790,11,,6,3508761,2655293,2944892,3212562,3426099
10007790,11,,10,-3131,0,0,27639,19902
10007790,11,,11,118640,194179,193915,225016,387131
10007790,11,,12,414660,239213,323613,440626,236617
